"id";"doi";"title";"journal";"publication_year";"authors";"countries";"concepts";"type";"cited_by_count";"abstract_text";"status"
"W2042679548";"10.1109/tpwrs.2015.2412376";"Empirical Analysis of the Merit-Order Effect and the Missing Money Problem in Power Markets With High RES Shares";"IEEE Transactions on Power Systems";2015;"Marcus Hildmann; Andreas Ulbig; Göran Andersson";"CH";"Marginal cost; Economics; Tariff; Renewable energy; Wind power; Electricity market";"article";80;"An on-going debate in the energy economics and power market community raises the question if energy-only power markets are increasingly failing due to growing feed-in shares from subsidized renewable energy sources (RES); the argument being essentially that the merit-order effect of RES production depresses day-ahead spot market prices, which in turn creates a situation where power plant owners cannot recover investment costs (missing-money problem). We argue in short that energy-only power markets are not failing in principle but are rather facing several market distortions that hinder proper market functioning, namely 1) the gap between the electricity volume actually traded at day-ahead spot markets versus the overall electricity consumption, and 2) the regulatory assumption that variable RES generation, i.e., wind and photovoltaic (PV), truly has zero marginal operation and grid integration costs. In this paper, we show that both effects over-amplify the well-known merit-order effect of RES power feed-in, and indirectly also the missing-money problem beyond a level that is explainable by underlying physical realities. We empirically analyze the impacts of wind and PV power feed-in on the day-ahead market for the EPEX German-Austrian market zone, a region that is already today experiencing significant feed-in tariff (FIT)-subsidized RES power feed-in (ca. 20% FIT share). Our analysis shows that, if necessary regulatory adaptations are taken, i.e., increasing the spot market's share of overall load demand and using the true marginal costs of RES units in the merit-order, energy-based power markets remain functional despite high RES power feed-in.";"Incluido"
"W2143968629";NA;"The green game changer: An empirical assessment of the effects of wind and solar power on the merit order";"RePEc: Research Papers in Economics";2013;"Veit Böckers; Leonie Giessing; Jürgen Rösch";"DE";"Renewable energy; Figure of merit; Wind power; Grid parity; Production (economics); Economics";"preprint";85;"We estimate the impact of renewable energy sources on the merit order and the wholesale price in Spain. We use a structural vectorautoregressive model for the merit order of production and argue that wind and solar production are exogenous to the system. As expected the overall effect is negative for the wholesale price and the produced quantities of most generation technologies. The estimated impact, however, is biggest for mid-merit plants. This finding sheds light on the theoretical discussion about which power plants are affected most by renewable energy sources. The effect is also mainly driven by wind power. Solar energy increases wholesale prices as peak plants enlarge their production with more solar power.";"Incluido"
"W2954315483";"10.3390/en12132566";"On the Stability of Energy-Only Markets with Government-Initiated Contracts-for-Differences";"Energies";2019;"Paul Simshauser";"AU";"Spot market; Business; Spot contract; Hedge; Forward market; Renewable energy";"article";65;"Rising levels of variable renewable energy (VRE) in Australia’s National Electricity Market have been driven by a 20% renewable energy target by 2020. This certificated renewable portfolio standard has successfully driven new investment, allocated risk amongst buy- and sell-side market participants and met overall policy objectives. But a policy vacuum for achieving long-term CO2 emission targets post-2020 has led to sub-national and, potentially, national governments initiating contract-for-differences (CfDs) to drive further investment activity in new plant—with virtually no coordination between the jurisdictions. In a gross pool energy-only market setting, replacing on-market transactions between retailers and generators with off-market transactions between governments and generators may have unintended side-effects vis-à-vis market stability. In this article, an energy-only gross pool is modeled with rising levels of off-market government-initiated CfDs, with a specific focus on spot and forward contract market outcomes. Model results show that as VRE plant enters, coal plant exit, and on-market firm hedge contracts historically supplied by coal plant are progressively replaced by off-market CfDs. In the event, while a tractable equilibrium can be maintained in the spot market, shortages of “primary issuance” hedge contracts emerge in the forward market. Any shortage of hedge contract capacity is likely to raise forward contract price premiums above efficient levels, force price-elastic customers into accepting unwanted spot market exposures and may unintentionally foreclose non-integrated (2nd tier) energy retailers, all of which harms consumer welfare. A wide-ranging program of government CfDs may therefore not be compatible with an energy-only market design.";"Incluido"
"W2552445594";"10.1016/j.eneco.2016.11.018";"System integration of wind and solar power in integrated assessment models: A cross-model evaluation of new approaches";"Energy Economics";2016;"Robert Pietzcker; Falko Ueckerdt; Samuel Carrara; Harmen Sytze de Boer; Jacques Després; Shinichiro Fujimori; Nils Johnson; Alban Kitous; Yvonne Scholz; Patrick Sullivan; Gunnar Luderer";"DE; FR; IT; NL; JP; AT; BE; US";"Variable renewable energy; Renewable energy; Computer science; Wind power; Software deployment; Representation (politics)";"article";177;NA;"Incluido"
"W1979601279";"10.1016/j.enpol.2009.07.037";"Market design for a large share of wind power";"Energy Policy";2009;"David Newbery";"GB";"Incentive; Natural gas prices; Revenue; Investment (military); Economics; Profit (economics)";"article";41;NA;"Incluido"
"W2990482855";"10.1016/j.rser.2019.109540";"Review of wind generation within adequacy calculations and capacity markets for different power systems";"Renewable and Sustainable Energy Reviews";2019;"Lennart Söder; Egill Tómasson; Ana Estanqueiro; Damian Flynn; Bri‐Mathias Hodge; Juha Kiviluoma; Magnus Korpås; Emmanuel Neau; António Couto; Danny Pudjianto; Goran Štrbac; Daniel J. Burke; Tomás Gómez San Román; Kaushik Das; Nicolaos Antonio Cutululis; Dirk Van Hertem; Hanspeter Höschle; Julia Matevosyan; Serafin von Roon; Enrico Maria Carlini; Mauro Caprabianca; Laurens de Vries";"SE; PT; IE; FI; NO; FR; GB; ES; DK; BE; DE; IT; NL";"Wind power; Renewable energy; Electricity generation; Electricity; Nameplate capacity; Environmental economics";"article";82;"The integration of renewable energy sources, including wind power, in the adequacy assessment of electricity generation capacity becomes increasingly important as renewable energy generation increases in volume and replaces conventional power plants. The contribution of wind power to cover the electricity demand is less certain than conventional power sources; therefore, the capacity value of wind power is smaller than that of conventional plants. This article presents an overview of the adequacy challenge, how wind power is handled in the regulation of capacity adequacy, and how wind power is treated in a selection of jurisdictions. The jurisdictions included in the overview are Sweden, Great Britain, France, Ireland, United States (PJM and ERCOT), Finland, Portugal, Spain, Norway, Denmark, Belgium, Germany, Italy and the Netherlands.";"Incluido"
"W2559858966";"10.1016/j.rser.2016.11.256";"Gas generation and wind power: A review of unlikely allies in the United Kingdom and Ireland";"Renewable and Sustainable Energy Reviews";2016;"Joseph Devlin; Kang Li; Paraic Higgins; Aoife Foley";"GB";"Renewable energy; Wind power; Electricity generation; Natural gas; Energy security; Natural resource economics";"article";40;"No single solution currently exists to achieve the utopian desire of zero fossil fuel electricity generation. Until such time, it is evident that the energy mix will contain a large variation in stochastic and intermittent sources of renewable energy such as wind power. The increasing prominence of wind power in pursuit of legally binding European energy targets enables policy makers and conventional generating companies to plan for the unique challenges such a natural resource presents. This drive for wind has been highly beneficial in terms of security of energy supply and reducing greenhouse gas emissions. However, it has created an unusual ally in natural gas. This paper outlines the suitability and challenges faced by gas generating units in their utilisation as key assets for renewable energy integration and the transition to a low carbon future. The Single Electricity Market of the Republic of Ireland and Northern Ireland and the British Electricity Transmission Trading Agreement Market are the backdrop to this analysis. Both of these energy markets have a reliance on gas generation matching the proliferation of wind power. The unlikely and mostly ignored relationship between natural gas generation and wind power due to policy decisions and market forces is the necessity of gas to act as a bridging fuel. This review finds gas generation to be crucially important to the continued growth of renewable energy. Additionally, it is suggested that power market design should adequately reward the flexibility required to securely operate a power system with high penetrations of renewable energy, which in most cases is provided by gas generation.";"Incluido"
"W1952114538";"10.1016/j.apenergy.2015.09.090";"Least-cost options for integrating intermittent renewables in low-carbon power systems";"Applied Energy";2015;"Anne Sjoerd Brouwer; Machteld van den Broek; William Zappa; Wim Turkenburg; André Faaij";"NL";"Renewable energy; Electric power system; Electricity generation; Environmental science; Reliability engineering; Electricity";"article";263;NA;"Incluido"
"W2038236969";"10.1016/j.enpol.2010.08.023";"Vertical integration, credit ratings and retail price settings in energy-only markets: Navigating the Resource Adequacy problem";"Energy Policy";2010;"Paul Simshauser";NA;"Government (linguistics); Investment (military); Business; Resource (disambiguation); Electricity; Industrial organization";"article";46;NA;"Incluido"
"W2549401932";"10.1088/1748-9326/11/11/114010";"The role of capital costs in decarbonizing the electricity sector";"Environmental Research Letters";2016;"Lion Hirth; Jan Christoph Steckel";"DE";"Weighted average cost of capital; Cost of capital; Renewable energy; Economics; Carbon price; Greenhouse gas";"article";207;"Low-carbon electricity generation, i.e. renewable energy, nuclear power and carbon capture and storage, is more capital intensive than electricity generation through carbon emitting fossil fuel power stations. High capital costs, expressed as high weighted average cost of capital (WACC), thus tend to encourage the use of fossil fuels. To achieve the same degree of decarbonization, countries with high capital costs therefore need to impose a higher price on carbon emissions than countries with low capital costs. This is particularly relevant for developing and emerging economies, where capital costs tend to be higher than in rich countries. In this paper we quantitatively evaluate how high capital costs impact the transformation of the energy system under climate policy, applying a numerical techno-economic model of the power system. We find that high capital costs can significantly reduce the effectiveness of carbon prices: if carbon emissions are priced at USD 50 per ton and the WACC is 3%, the cost-optimal electricity mix comprises 40% renewable energy. At the same carbon price and a WACC of 15%, the cost-optimal mix comprises almost no renewable energy. At 15% WACC, there is no significant emission mitigation with carbon pricing up to USD 50 per ton, but at 3% WACC and the same carbon price, emissions are reduced by almost half. These results have implications for climate policy; carbon pricing might need to be combined with policies to reduce capital costs of low-carbon options in order to decarbonize power systems.";"Incluido"
