"id","doi","title","journal","publication_year","authors","countries","concepts","type","cited_by_count","abstract_text","status"
"W2042679548","10.1109/tpwrs.2015.2412376","Empirical Analysis of the Merit-Order Effect and the Missing Money Problem in Power Markets With High RES Shares","IEEE Transactions on Power Systems",2015,"Marcus Hildmann; Andreas Ulbig; Göran Andersson","CH","Marginal cost; Economics; Tariff; Renewable energy; Wind power; Electricity market","article",80,"An on-going debate in the energy economics and power market community raises the question if energy-...","Incluido"
"W2143968629","","The green game changer: An empirical assessment of the effects of wind and solar power on the merit order","RePEc: Research Papers in Economics",2013,"Veit Böckers; Leonie Giessing; Jürgen Rösch","DE","Renewable energy; Figure of merit; Wind power; Grid parity; Production (economics); Economics","preprint",85,"We estimate the impact of renewable energy sources on the merit order and the wholesale price in Spa...","Incluido"
"W2954315483","10.3390/en12132566","On the Stability of Energy-Only Markets with Government-Initiated Contracts-for-Differences","Energies",2019,"Paul Simshauser","AU","Spot market; Business; Spot contract; Hedge; Forward market; Renewable energy","article",65,"Rising levels of variable renewable energy (VRE) in Australia’s National Electricity Market have bee...","Incluido"
"W2552445594","10.1016/j.eneco.2016.11.018","System integration of wind and solar power in integrated assessment models: A cross-model evaluation of new approaches","Energy Economics",2016,"Robert Pietzcker; Falko Ueckerdt; Samuel Carrara; Harmen Sytze de Boer; Jacques Després; Shinichiro Fujimori; Nils Johnson; Alban Kitous; Yvonne Scholz; Patrick Sullivan; Gunnar Luderer","DE; FR; IT; NL; JP; AT; BE; US","Variable renewable energy; Renewable energy; Computer science; Wind power; Software deployment; Representation (politics)","article",177,"","Incluido"
"W2990482855","10.1016/j.rser.2019.109540","Review of wind generation within adequacy calculations and capacity markets for different power systems","Renewable and Sustainable Energy Reviews",2019,"Lennart Söder; Egill Tómasson; Ana Estanqueiro; Damian Flynn; Bri‐Mathias Hodge; Juha Kiviluoma; Magnus Korpås; Emmanuel Neau; António Couto; Danny Pudjianto; Goran Štrbac; Daniel J. Burke; Tomás Gómez San Román; Kaushik Das; Nicolaos Antonio Cutululis; Dirk Van Hertem; Hanspeter Höschle; Julia Matevosyan; Serafin von Roon; Enrico Maria Carlini; Mauro Caprabianca; Laurens de Vries","SE; PT; IE; FI; NO; FR; GB; ES; DK; BE; DE; IT; NL","Wind power; Renewable energy; Electricity generation; Electricity; Nameplate capacity; Environmental economics","article",82,"The integration of renewable energy sources, including wind power, in the adequacy assessment of ele...","Incluido"
"W2559858966","10.1016/j.rser.2016.11.256","Gas generation and wind power: A review of unlikely allies in the United Kingdom and Ireland","Renewable and Sustainable Energy Reviews",2016,"Joseph Devlin; Kang Li; Paraic Higgins; Aoife Foley","GB","Renewable energy; Wind power; Electricity generation; Natural gas; Energy security; Natural resource economics","article",40,"No single solution currently exists to achieve the utopian desire of zero fossil fuel electricity ge...","Incluido"
"W1952114538","10.1016/j.apenergy.2015.09.090","Least-cost options for integrating intermittent renewables in low-carbon power systems","Applied Energy",2015,"Anne Sjoerd Brouwer; Machteld van den Broek; William Zappa; Wim Turkenburg; André Faaij","NL","Renewable energy; Electric power system; Electricity generation; Environmental science; Reliability engineering; Electricity","article",263,"","Incluido"
"W2038236969","10.1016/j.enpol.2010.08.023","Vertical integration, credit ratings and retail price settings in energy-only markets: Navigating the Resource Adequacy problem","Energy Policy",2010,"Paul Simshauser","","Government (linguistics); Investment (military); Business; Resource (disambiguation); Electricity; Industrial organization","article",46,"","Incluido"
"W2549401932","10.1088/1748-9326/11/11/114010","The role of capital costs in decarbonizing the electricity sector","Environmental Research Letters",2016,"Lion Hirth; Jan Christoph Steckel","DE","Weighted average cost of capital; Cost of capital; Renewable energy; Economics; Carbon price; Greenhouse gas","article",207,"Low-carbon electricity generation, i.e. renewable energy, nuclear power and carbon capture and stora...","Incluido"
"W3146628490","10.1002/wene.398","Wind power costs driven by innovation and experience with further reductions on the horizon","Wiley Interdisciplinary Reviews Energy and Environment",2021,"Philipp Beiter; Aubryn Cooperman; Eric Lantz; Tyler Stehly; Matt Shields; Ryan Wiser; Thomas Telsnig; Lena Kitzing; Volker Berkhout; Y. Kikuchi","US; NL; DK; DE; JP","Horizon; Wind power; Time horizon; Power (physics); Environmental economics; Environmental science","article",59,"Abstract The costs of wind power have declined to levels on par with or below those of conventional ...","Incluido"
"W2787190816","10.1016/j.eneco.2019.01.030","A survey on electricity market design: Insights from theory and real-world implementations of capacity remuneration mechanisms","Energy Economics",2019,"Andreas Bublitz; Dogan Keles; Florian Zimmermann; Christoph Fraunholz; Wolf Fïchtner","DE","Remuneration; Electricity; Implementation; Electricity market; Renewable energy; Economics","article",237,"In recent years, electricity markets have been characterized by a growing share of fluctuating renew...","Incluido"
"W2794182874","10.1016/j.apenergy.2018.01.057","How do demand response and electrical energy storage affect (the need for) a capacity market?","Applied Energy",2018,"Agha Salman M. Khan; Remco Verzijlbergh; Özgür Can Sakinci; Laurens J. de Vries","NL","Flexibility (engineering); Environmental economics; Electricity market; Investment (military); Scarcity; Renewable energy","article",85,"To ensure security of supply and incentivize reliable investment in generation capacity, capacity ma...","Incluido"
"W3175146006","10.1002/er.6897","Renewable energy penetration and energy security in electricity markets","International Journal of Energy Research",2021,"Juan Pablo Ríos‐Ocampo; Santiago Arango‐Aramburo; Erik R. Larsen","AU; CO; DK","Renewable energy; Electricity; Penetration (warfare); Energy security; Environmental economics; Market penetration","article",44,"Summary The transition from fossil fuels to renewable energies such as wind and solar is being encou...","Incluido"
"W4213093501","10.1016/j.adapen.2022.100090","Island in the Sea: The prospects and impacts of an offshore wind power hub in the North Sea","Advances in Applied Energy",2022,"Malte Jansen; Connor Duffy; T.C. Green; Iain Staffell","GB","Offshore wind power; Submarine pipeline; Oceanography; Wind power; North sea; Power (physics)","article",58,"Europe's offshore wind capacity is increasing rapidly, with larger turbines installed further from s...","Incluido"
"W2755327423","10.1016/j.jup.2017.09.003","The effectiveness of capacity markets in the presence of a high portfolio share of renewable energy sources","Utilities Policy",2017,"Pradyumna Bhagwat; Kaveri K. Iychettira; Jörn C. Richstein; Émile Chappin; Laurens J. de Vries","IT; NL; DE","Portfolio; Renewable energy; Investment (military); Imperfect; Economics; Margin (machine learning)","article",61,"The effectiveness of a capacity market is analyzed by simulating three conditions that may cause sub...","Incluido"
"W1523443465","10.1109/eem.2015.7216609","Energy-only markets with deferrable demand","",2015,"Anthony Papavasiliou; Yves Smeers","BE","Demand response; Market demand schedule; Renewable energy; Wind power; Energy market; Microeconomics","conference-paper",4,"In addition to its adverse impacts on power system operations, the large-scale integration of renewa...","Incluido"
"W3022617081","10.5547/01956574.40.6.pfal","Renewables, Allowances Markets, and Capacity Expansion in Energy-Only Markets","The Energy Journal",2019,"Paolo Falbo; Cristian Pelizzari; Luca Taschini","IT; GB","Renewable energy; Electricity; Economics; Production (economics); Fossil fuel; Marginal cost","article",9,"We investigate the combined effect of an Emissions Trading System (ETS) and renewable energy sources...","Incluido"
